Customer_ID,Customer_Name,Age,Gender,City,Membership_Level
5000,Customer_5000,53,Female,Lucknow,Silver
5001,Customer_5001,52,Female,Kochi,Silver
5002,Customer_5002,36,Female,Coimbatore,Gold
5003,Customer_5003,37,Male,Visakhapatnam,Gold
5004,Customer_5004,35,Female,Chandigarh,Silver
5005,Customer_5005,64,Female,Kochi,Gold
5006,Customer_5006,58,Female,Chandigarh,Gold
5007,Customer_5007,31,Male,Guwahati,Silver
5008,Customer_5008,32,Male,Ahmedabad,Silver
5009,Customer_5009,48,Female,Hyderabad,Platinum
5010,Customer_5010,18,Female,Hyderabad,Platinum
5011,Customer_5011,20,Female,Jaipur,Gold
5012,Customer_5012,33,Female,Chennai,Silver
5013,Customer_5013,40,Male,Bhopal,Silver
5014,Customer_5014,28,Female,Bhopal,Gold
5015,Customer_5015,29,Female,Kochi,Silver
5016,Customer_5016,27,Female,Patna,Silver
5017,Customer_5017,49,Male,Jaipur,Gold
5018,Customer_5018,33,Male,Pune,Silver
5019,Customer_5019,25,Female,Lucknow,Gold
5020,Customer_5020,55,Female,Chandigarh,Platinum
5021,Customer_5021,29,Female,Bhopal,Silver
5022,Customer_5022,41,Female,Pune,Platinum
5023,Customer_5023,45,Female,Coimbatore,Silver
5024,Customer_5024,25,Male,Patna,Platinum
5025,Customer_5025,45,Male,Hyderabad,Silver
5026,Customer_5026,53,Male,Bhopal,Silver
5027,Customer_5027,43,Female,Indore,Gold
5028,Customer_5028,25,Male,Visakhapatnam,Silver
5029,Customer_5029,45,Male,Bengaluru,Platinum
5030,Customer_5030,45,Male,Mumbai,Silver
5031,Customer_5031,54,Female,Hyderabad,Silver
5032,Customer_5032,58,Female,Kolkata,Gold
5033,Customer_5033,53,Male,Coimbatore,Silver
5034,Customer_5034,44,Female,Chandigarh,Silver
5035,Customer_5035,34,Male,Ahmedabad,Gold
5036,Customer_5036,26,Male,Visakhapatnam,Gold
5037,Customer_5037,50,Male,Indore,Platinum
5038,Customer_5038,37,Male,Lucknow,Platinum
5039,Customer_5039,30,Female,Bhopal,Silver
5040,Customer_5040,45,Female,Hyderabad,Gold
5041,Customer_5041,46,Female,Visakhapatnam,Silver
5042,Customer_5042,30,Female,Kolkata,Gold
5043,Customer_5043,63,Male,Jaipur,Silver
5044,Customer_5044,52,Female,Chandigarh,Platinum
5045,Customer_5045,23,Male,Nagpur,Gold
5046,Customer_5046,35,Female,Ahmedabad,Platinum
5047,Customer_5047,22,Female,Visakhapatnam,Platinum
5048,Customer_5048,64,Female,Guwahati,Platinum
5049,Customer_5049,42,Male,Nagpur,Platinum
5050,Customer_5050,19,Male,Pune,Silver
5051,Customer_5051,27,Male,Kolkata,Silver
5052,Customer_5052,47,Male,Coimbatore,Silver
5053,Customer_5053,62,Female,Mumbai,Silver
5054,Customer_5054,22,Male,Indore,Gold
5055,Customer_5055,50,Male,Ahmedabad,Gold
5056,Customer_5056,18,Female,Delhi,Gold
5057,Customer_5057,35,Female,Bhopal,Platinum
5058,Customer_5058,49,Male,Mumbai,Platinum
5059,Customer_5059,64,Female,Coimbatore,Silver
5060,Customer_5060,28,Male,Pune,Silver
5061,Customer_5061,38,Female,Kochi,Silver
5062,Customer_5062,43,Male,Nagpur,Silver
5063,Customer_5063,42,Male,Pune,Gold
5064,Customer_5064,39,Male,Bengaluru,Gold
5065,Customer_5065,44,Male,Hyderabad,Gold
5066,Customer_5066,30,Male,Visakhapatnam,Platinum
5067,Customer_5067,50,Female,Mumbai,Platinum
5068,Customer_5068,51,Male,Kochi,Silver
5069,Customer_5069,58,Male,Bhopal,Gold
5070,Customer_5070,52,Male,Bhopal,Silver
5071,Customer_5071,18,Male,Kochi,Silver
5072,Customer_5072,38,Male,Lucknow,Silver
5073,Customer_5073,23,Female,Bengaluru,Silver
5074,Customer_5074,45,Female,Visakhapatnam,Silver
5075,Customer_5075,34,Male,Coimbatore,Silver
5076,Customer_5076,22,Female,Surat,Gold
5077,Customer_5077,48,Male,Bhopal,Gold
5078,Customer_5078,22,Female,Kochi,Silver
5079,Customer_5079,55,Female,Chennai,Silver
5080,Customer_5080,20,Male,Lucknow,Platinum
5081,Customer_5081,40,Female,Indore,Silver
5082,Customer_5082,54,Female,Hyderabad,Platinum
5083,Customer_5083,54,Male,Hyderabad,Gold
5084,Customer_5084,27,Male,Jaipur,Silver
5085,Customer_5085,27,Female,Patna,Silver
5086,Customer_5086,36,Female,Mumbai,Silver
5087,Customer_5087,34,Female,Chennai,Silver
5088,Customer_5088,38,Male,Kolkata,Silver
5089,Customer_5089,31,Female,Kochi,Gold
5090,Customer_5090,26,Female,Ahmedabad,Silver
5091,Customer_5091,63,Female,Ahmedabad,Gold
5092,Customer_5092,18,Male,Bhopal,Gold
5093,Customer_5093,62,Male,Ahmedabad,Silver
5094,Customer_5094,30,Male,Guwahati,Silver
5095,Customer_5095,21,Male,Bengaluru,Silver
5096,Customer_5096,18,Female,Coimbatore,Silver
5097,Customer_5097,57,Male,Guwahati,Gold
5098,Customer_5098,49,Female,Guwahati,Silver
5099,Customer_5099,51,Female,Patna,Gold
5100,Customer_5100,45,Female,Hyderabad,Silver
5101,Customer_5101,48,Female,Chandigarh,Silver
5102,Customer_5102,25,Male,Ahmedabad,Gold
5103,Customer_5103,56,Male,Chandigarh,Gold
5104,Customer_5104,43,Male,Coimbatore,Silver
5105,Customer_5105,51,Male,Visakhapatnam,Silver
5106,Customer_5106,20,Male,Chandigarh,Gold
5107,Customer_5107,29,Female,Indore,Silver
5108,Customer_5108,18,Male,Pune,Silver
5109,Customer_5109,61,Male,Kochi,Gold
5110,Customer_5110,22,Male,Kochi,Silver
5111,Customer_5111,47,Male,Bhopal,Gold
5112,Customer_5112,47,Female,Surat,Gold
5113,Customer_5113,34,Female,Lucknow,Gold
5114,Customer_5114,64,Female,Pune,Gold
5115,Customer_5115,40,Female,Nagpur,Gold
5116,Customer_5116,32,Female,Delhi,Gold
5117,Customer_5117,54,Male,Kochi,Platinum
5118,Customer_5118,38,Female,Chennai,Silver
5119,Customer_5119,31,Female,Kolkata,Silver
5120,Customer_5120,19,Female,Visakhapatnam,Gold
5121,Customer_5121,28,Male,Pune,Gold
5122,Customer_5122,56,Male,Lucknow,Silver
5123,Customer_5123,55,Female,Kochi,Platinum
5124,Customer_5124,51,Male,Pune,Silver
5125,Customer_5125,55,Male,Delhi,Gold
5126,Customer_5126,51,Female,Pune,Gold
5127,Customer_5127,35,Male,Indore,Platinum
5128,Customer_5128,47,Male,Jaipur,Silver
5129,Customer_5129,32,Male,Bhopal,Gold
5130,Customer_5130,44,Female,Bengaluru,Silver
5131,Customer_5131,51,Female,Chennai,Silver
5132,Customer_5132,55,Female,Chennai,Silver
5133,Customer_5133,50,Male,Surat,Gold
