Transaction_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Unit_Price_INR,Revenue_INR
1,2024-12-17,1049,1383,5798,7,26627,186389
2,2024-06-02,1089,1252,8778,8,2888,23104
3,2024-12-03,1086,1833,5392,9,41918,377262
4,2024-10-19,1000,1987,6632,5,23851,119255
5,2024-06-14,1020,1646,5027,4,48691,194764
6,2024-09-28,1056,1933,8035,7,25457,178199
7,2024-01-24,1018,1178,8831,4,21358,85432
8,2024-04-24,1028,1382,6937,3,43965,131895
9,2024-12-16,1049,1625,7506,4,17722,70888
10,2024-09-16,1089,1256,5984,8,45527,364216
11,2024-11-01,1033,1465,7820,8,12535,100280
12,2024-12-29,1080,1843,5808,6,12479,74874
13,2024-08-13,1081,1756,8147,8,49731,397848
14,2024-04-11,1053,1688,6225,4,41027,164108
15,2024-05-10,1031,1455,6224,3,22058,66174
16,2024-09-20,1003,1531,5372,7,5012,35084
17,2024-01-12,1029,1354,8393,6,31794,190764
18,2024-11-17,1094,1553,7376,6,37224,223344
19,2024-06-29,1017,1143,8703,2,20598,41196
20,2024-12-14,1068,1753,6202,2,43548,87096
21,2024-06-09,1095,1544,9239,5,26010,130050
22,2024-04-23,1028,1999,5192,3,13099,39297
23,2024-01-18,1011,1600,9564,3,5061,15183
24,2024-04-13,1014,1594,6265,9,5722,51498
25,2024-07-04,1078,1482,9672,9,22637,203733
26,2024-12-07,1098,1783,9528,1,11628,11628
27,2024-04-02,1052,1911,7094,6,5385,32310
28,2024-10-27,1034,1687,7343,2,14018,28036
29,2024-05-22,1051,1600,5303,5,5061,25305
30,2024-05-22,1052,1991,7463,2,22166,44332
31,2024-10-27,1013,1310,8031,6,21703,130218
32,2024-04-09,1017,1747,6830,9,11873,106857
33,2024-03-02,1037,1667,8744,7,49111,343777
34,2024-03-24,1085,1712,7461,1,6005,6005
35,2024-10-02,1037,1721,7713,6,49649,297894
36,2024-06-15,1054,1662,5554,2,48902,97804
37,2024-10-21,1010,1797,6462,2,12205,24410
38,2024-05-08,1066,1444,7603,3,45664,136992
39,2024-12-29,1052,1095,6101,8,27357,218856
40,2024-03-07,1077,1343,7155,7,3085,21595
41,2024-02-16,1043,1714,5386,4,17492,69968
42,2024-11-05,1024,1243,8930,3,43676,131028
43,2024-05-27,1061,1636,6417,1,25955,25955
44,2024-09-06,1013,1537,5521,4,17647,70588
45,2024-05-16,1046,1394,8299,8,29500,236000
46,2024-04-04,1094,1275,7081,1,23643,23643
47,2024-08-25,1088,1811,7201,2,25774,51548
48,2024-10-10,1054,1785,9923,2,26118,52236
49,2024-11-15,1082,1673,6153,9,33346,300114
50,2024-02-04,1011,1099,7037,1,9440,9440
51,2024-10-22,1006,1515,9652,6,43934,263604
52,2024-12-23,1048,1724,5004,4,29112,116448
53,2024-09-14,1013,1089,6358,9,47903,431127
54,2024-09-26,1028,1653,8480,6,11287,67722
55,2024-12-20,1046,1857,6817,9,1230,11070
56,2024-11-19,1013,1396,5726,2,33873,67746
57,2024-02-16,1086,1601,6620,2,33630,67260
58,2024-04-03,1050,1040,9137,6,45320,271920
59,2024-06-30,1013,1974,8230,2,11100,22200
60,2024-07-08,1086,1602,8742,4,23417,93668
61,2024-02-20,1007,1440,5499,4,36881,147524
62,2024-07-24,1076,1470,5249,5,27356,136780
63,2024-10-30,1099,1533,5330,7,35917,251419
64,2024-11-28,1064,1649,6872,1,38461,38461
65,2024-05-04,1036,1964,8285,5,14688,73440
66,2024-07-30,1089,1963,5239,7,23878,167146
67,2024-09-22,1067,1049,9895,3,41768,125304
68,2024-05-14,1015,1611,6090,3,13489,40467
69,2024-09-29,1088,1271,6214,8,12842,102736
70,2024-10-04,1082,1991,8392,4,22166,88664
71,2024-11-10,1019,1906,9267,2,31220,62440
72,2024-10-26,1089,1870,8768,6,27483,164898
73,2024-09-23,1095,1992,6700,5,28885,144425
74,2024-10-24,1066,1482,7065,7,22637,158459
75,2024-10-05,1070,1495,8443,2,7401,14802
76,2024-08-01,1031,1963,9706,5,23878,119390
77,2024-03-02,1068,1470,6653,5,27356,136780
78,2024-02-23,1084,1322,7143,3,2225,6675
79,2024-12-03,1029,1787,7969,8,1417,11336
80,2024-12-30,1019,1192,7336,7,41115,287805
81,2024-04-21,1057,1507,5215,9,30197,271773
82,2024-09-25,1028,1288,9021,6,48434,290604
83,2024-11-19,1023,1137,9728,5,25216,126080
84,2024-04-16,1000,1450,9554,5,40929,204645
85,2024-10-09,1088,1310,8453,6,21703,130218
86,2024-06-16,1026,1927,5258,1,22546,22546
87,2024-03-14,1088,1556,9774,7,10626,74382
88,2024-08-23,1020,1186,7886,2,9857,19714
89,2024-04-01,1016,1869,8467,3,45211,135633
90,2024-03-25,1091,1286,8104,5,17612,88060
91,2024-03-15,1031,1468,9885,8,46406,371248
92,2024-03-24,1043,1471,9002,9,12532,112788
93,2024-09-01,1097,1634,8993,9,4609,41481
94,2024-08-15,1021,1087,9562,1,46213,46213
95,2024-03-23,1041,1435,8964,2,39178,78356
96,2024-01-15,1082,1137,5428,5,25216,126080
97,2024-10-27,1061,1773,7628,3,29210,87630
98,2024-06-29,1047,1731,8170,6,18512,111072
99,2024-12-03,1007,1640,6936,3,29286,87858
100,2024-09-19,1001,1761,8203,3,7024,21072
101,2024-03-18,1004,1878,9361,5,12486,62430
102,2024-08-16,1027,1941,5221,7,41670,291690
103,2024-08-20,1003,1363,6380,7,19633,137431
104,2024-01-30,1052,1841,7748,8,19616,156928
105,2024-06-03,1099,1872,8989,2,44686,89372
106,2024-10-31,1000,1925,9244,5,43646,218230
107,2024-07-03,1078,1116,5126,2,7788,15576
108,2024-12-22,1076,1846,6263,6,36452,218712
109,2024-09-11,1094,1461,7326,5,27047,135235
110,2024-06-17,1080,1958,6630,1,10835,10835
111,2024-03-21,1005,1855,6424,8,13215,105720
112,2024-10-12,1087,1062,8948,7,36031,252217
113,2024-07-28,1054,1073,8348,1,21448,21448
114,2024-09-15,1051,1473,9192,1,38111,38111
115,2024-02-06,1076,1896,9238,1,15350,15350
116,2024-10-12,1084,1381,6247,4,40684,162736
117,2024-02-23,1023,1019,5314,7,35500,248500
118,2024-07-30,1061,1028,7958,8,18487,147896
119,2024-12-07,1055,1161,8442,9,29202,262818
120,2024-04-09,1085,1705,8412,8,24856,198848
121,2024-03-25,1092,1705,7673,4,24856,99424
122,2024-07-31,1023,1641,9858,3,44537,133611
123,2024-09-20,1075,1967,5731,7,16262,113834
124,2024-03-26,1019,1821,5421,6,34667,208002
125,2024-03-03,1033,1856,7885,1,27650,27650
126,2024-07-10,1014,1273,7826,5,24724,123620
127,2024-04-02,1050,1748,8447,6,42108,252648
128,2024-09-09,1003,1720,8528,4,21576,86304
129,2024-05-17,1052,1285,7544,1,48772,48772
130,2024-02-18,1013,1263,8336,4,21381,85524
131,2024-04-30,1064,1681,6401,4,1693,6772
132,2024-02-08,1032,1749,8298,2,33974,67948
133,2024-02-03,1049,1668,9063,8,38344,306752
134,2024-12-23,1062,1050,8547,9,34507,310563
135,2024-09-22,1049,1850,6179,5,7487,37435
136,2024-01-09,1092,1119,7797,4,10267,41068
137,2024-07-06,1073,1868,9370,4,42952,171808
138,2024-04-05,1035,1407,9448,5,16665,83325
139,2024-05-12,1077,1465,8030,8,12535,100280
140,2024-06-11,1085,1649,6243,2,38461,76922
141,2024-05-18,1096,1655,8331,4,13830,55320
142,2024-10-24,1091,1632,7862,4,20338,81352
143,2024-03-20,1070,1561,6890,1,46597,46597
144,2024-03-31,1099,1552,5388,5,43077,215385
145,2024-09-12,1099,1745,9219,5,33660,168300
146,2024-05-27,1049,1565,8375,8,28460,227680
147,2024-06-27,1040,1811,6405,5,25774,128870
148,2024-09-13,1097,1315,9207,9,22438,201942
149,2024-08-05,1069,1324,7894,2,44675,89350
150,2024-09-23,1098,1846,8297,9,36452,328068
151,2024-11-12,1026,1022,7535,6,13322,79932
152,2024-03-19,1029,1222,8630,7,27819,194733
153,2024-06-15,1031,1605,7408,4,6446,25784
154,2024-04-13,1082,1838,8234,7,29512,206584
155,2024-10-30,1021,1787,9142,6,1417,8502
156,2024-12-03,1084,1038,7647,4,15850,63400
157,2024-10-10,1068,1770,7944,4,23712,94848
158,2024-12-10,1020,1770,5054,1,23712,23712
159,2024-08-02,1055,1926,7314,5,30655,153275
160,2024-03-15,1083,1262,9640,4,25428,101712
161,2024-08-12,1030,1384,6989,4,37254,149016
162,2024-12-01,1058,1695,9023,5,13120,65600
163,2024-10-18,1069,1410,6343,9,7197,64773
164,2024-12-08,1094,1704,8036,8,1705,13640
165,2024-03-10,1042,1581,8129,7,14424,100968
166,2024-12-28,1087,1467,7667,3,29345,88035
167,2024-07-08,1053,1678,7321,5,17342,86710
168,2024-04-15,1017,1107,7732,7,3873,27111
169,2024-03-10,1054,1770,8194,2,23712,47424
170,2024-01-10,1028,1186,7195,2,9857,19714
171,2024-08-01,1060,1257,6233,5,42754,213770
172,2024-01-05,1050,1763,7804,9,1795,16155
173,2024-01-28,1075,1942,5144,3,24447,73341
174,2024-11-10,1011,1351,5600,1,33002,33002
175,2024-08-28,1092,1506,9868,7,8031,56217
176,2024-08-23,1060,1275,7421,9,23643,212787
177,2024-04-01,1070,1483,6379,6,15452,92712
178,2024-11-13,1015,1282,9832,6,45489,272934
179,2024-12-10,1011,1595,5782,4,37237,148948
180,2024-12-28,1061,1786,8535,8,21287,170296
181,2024-02-07,1084,1694,5997,2,34535,69070
182,2024-08-06,1067,1318,7214,6,825,4950
183,2024-05-31,1059,1724,9439,7,29112,203784
184,2024-07-10,1080,1554,8332,2,38592,77184
185,2024-04-30,1027,1467,8778,5,29345,146725
186,2024-06-19,1063,1644,6672,4,37636,150544
187,2024-04-19,1094,1374,5189,1,2364,2364
188,2024-05-23,1071,1915,8805,6,41528,249168
189,2024-03-06,1049,1715,9590,9,3186,28674
190,2024-11-17,1025,1623,7749,5,30533,152665
191,2024-07-15,1039,1188,7493,4,1419,5676
192,2024-02-15,1054,1189,8771,2,43361,86722
193,2024-05-28,1030,1073,9528,8,21448,171584
194,2024-02-29,1082,1500,5680,9,28433,255897
195,2024-05-17,1070,1702,5305,6,19011,114066
196,2024-03-30,1004,1149,5993,6,48477,290862
197,2024-07-30,1012,1805,6401,6,2604,15624
198,2024-06-17,1017,1091,9301,2,20537,41074
199,2024-04-22,1081,1651,7487,5,7713,38565
200,2024-12-06,1049,1614,5768,7,3468,24276
201,2024-03-06,1083,1713,5192,8,41673,333384
202,2024-10-28,1086,1239,8007,8,34453,275624
203,2024-04-27,1035,1060,8329,5,20955,104775
204,2024-08-12,1051,1610,5011,5,35962,179810
205,2024-05-30,1032,1815,5940,6,38970,233820
206,2024-06-15,1063,1235,5214,4,18099,72396
207,2024-04-04,1070,1231,5673,8,28799,230392
