Store_ID,Store_Name,City,Manager_Name,Store_Type,Opening_Year,Total_Employees,Store_Area_sqft,Average_Monthly_Sales_INR
1000,RetailHub_1000,Pune,Manager_0,Company-Owned,2019,99,4156,1889465
1001,RetailHub_1001,Visakhapatnam,Manager_1,Company-Owned,2018,46,4845,1533636
1002,RetailHub_1002,Patna,Manager_2,Company-Owned,2013,47,2043,4038370
1003,RetailHub_1003,Indore,Manager_3,Franchise,2021,81,3918,1038102
1004,RetailHub_1004,Ahmedabad,Manager_4,Franchise,2010,32,2941,1074460
1005,RetailHub_1005,Pune,Manager_5,Company-Owned,2011,39,3859,2413354
1006,RetailHub_1006,Guwahati,Manager_6,Company-Owned,2010,68,3759,4235658
1007,RetailHub_1007,Indore,Manager_7,Franchise,2021,72,3065,4676817
1008,RetailHub_1008,Indore,Manager_8,Company-Owned,2014,81,3279,4773166
1009,RetailHub_1009,Chennai,Manager_9,Franchise,2014,60,2435,2776203
1010,RetailHub_1010,Ahmedabad,Manager_10,Franchise,2020,38,2557,3276360
1011,RetailHub_1011,Bengaluru,Manager_11,Franchise,2016,46,2870,4300425
1012,RetailHub_1012,Mumbai,Manager_12,Franchise,2018,61,3649,1213945
1013,RetailHub_1013,Bhopal,Manager_13,Franchise,2018,37,4051,1231915
1014,RetailHub_1014,Hyderabad,Manager_14,Franchise,2012,80,4530,3825104
1015,RetailHub_1015,Mumbai,Manager_15,Company-Owned,2012,41,3289,3305276
1016,RetailHub_1016,Delhi,Manager_16,Franchise,2012,16,2431,3534629
1017,RetailHub_1017,Bhopal,Manager_17,Franchise,2013,31,3616,1525830
1018,RetailHub_1018,Bhopal,Manager_18,Company-Owned,2017,47,1815,2332397
1019,RetailHub_1019,Kochi,Manager_19,Franchise,2015,23,2148,4323532
1020,RetailHub_1020,Lucknow,Manager_20,Franchise,2017,57,3887,4851431
1021,RetailHub_1021,Chandigarh,Manager_21,Company-Owned,2010,62,3639,3136233
1022,RetailHub_1022,Patna,Manager_22,Franchise,2017,53,1135,1718216
1023,RetailHub_1023,Patna,Manager_23,Franchise,2013,56,1695,3452401
1024,RetailHub_1024,Guwahati,Manager_24,Franchise,2020,40,4346,2268506
1025,RetailHub_1025,Bhopal,Manager_25,Franchise,2010,64,1651,1805497
1026,RetailHub_1026,Visakhapatnam,Manager_26,Company-Owned,2017,39,2487,1517313
1027,RetailHub_1027,Bengaluru,Manager_27,Company-Owned,2013,38,2731,2263108
1028,RetailHub_1028,Kolkata,Manager_28,Company-Owned,2015,27,4546,3709532
1029,RetailHub_1029,Guwahati,Manager_29,Company-Owned,2017,74,3227,4665060
1030,RetailHub_1030,Pune,Manager_30,Company-Owned,2013,21,2368,4462565
1031,RetailHub_1031,Jaipur,Manager_31,Franchise,2012,71,4800,2337682
1032,RetailHub_1032,Pune,Manager_32,Company-Owned,2018,50,3538,2076871
1033,RetailHub_1033,Coimbatore,Manager_33,Franchise,2012,59,4298,2062383
1034,RetailHub_1034,Chennai,Manager_34,Company-Owned,2018,34,4713,4581292
1035,RetailHub_1035,Nagpur,Manager_35,Company-Owned,2022,79,1866,3254656
1036,RetailHub_1036,Coimbatore,Manager_36,Franchise,2011,22,3244,3049365
1037,RetailHub_1037,Jaipur,Manager_37,Franchise,2011,30,4907,2286643
1038,RetailHub_1038,Mumbai,Manager_38,Franchise,2011,28,4173,2533584
1039,RetailHub_1039,Visakhapatnam,Manager_39,Franchise,2015,90,4769,3006342
1040,RetailHub_1040,Patna,Manager_40,Company-Owned,2012,29,3346,3789592
1041,RetailHub_1041,Pune,Manager_41,Company-Owned,2022,80,1553,1394540
1042,RetailHub_1042,Bhopal,Manager_42,Franchise,2018,46,2882,2926275
1043,RetailHub_1043,Ahmedabad,Manager_43,Franchise,2013,77,3574,3615075
1044,RetailHub_1044,Patna,Manager_44,Franchise,2010,65,3696,2215557
1045,RetailHub_1045,Bengaluru,Manager_45,Franchise,2013,39,4985,1744699
1046,RetailHub_1046,Nagpur,Manager_46,Franchise,2010,72,1575,3117022
1047,RetailHub_1047,Kochi,Manager_47,Franchise,2014,77,2425,1952082
1048,RetailHub_1048,Chennai,Manager_48,Company-Owned,2013,76,3869,4348924
1049,RetailHub_1049,Coimbatore,Manager_49,Franchise,2017,36,1217,1248683
1050,RetailHub_1050,Ahmedabad,Manager_50,Franchise,2017,72,914,4380405
1051,RetailHub_1051,Chennai,Manager_51,Company-Owned,2016,72,1416,1026790
1052,RetailHub_1052,Mumbai,Manager_52,Franchise,2012,63,4774,2691738
1053,RetailHub_1053,Hyderabad,Manager_53,Company-Owned,2010,66,4067,3908873
1054,RetailHub_1054,Lucknow,Manager_54,Company-Owned,2010,56,1625,1448345
