City,Date,Temperature_C,Humidity,Rain
Delhi,2024-01-01,25.6,77,0
Delhi,2024-01-02,19.0,78,0
Delhi,2024-01-03,18.1,42,0
Delhi,2024-01-04,20.2,75,0
Delhi,2024-01-05,15.0,77,0
Delhi,2024-01-06,18.7,89,0
Delhi,2024-01-07,15.6,51,0
Delhi,2024-01-08,19.4,43,0
Delhi,2024-01-09,17.9,42,0
Delhi,2024-01-10,23.5,52,1
Delhi,2024-01-11,17.9,55,0
Delhi,2024-01-12,28.5,55,0
Delhi,2024-01-13,20.3,87,0
Delhi,2024-01-14,13.9,73,0
Delhi,2024-01-15,10.3,41,0
Delhi,2024-01-16,18.4,49,0
Delhi,2024-01-17,33.8,78,0
Delhi,2024-01-18,18.6,48,0
Delhi,2024-01-19,17.1,59,1
Delhi,2024-01-20,16.7,40,0
Delhi,2024-01-21,23.8,52,0
Delhi,2024-01-22,18.9,70,0
Delhi,2024-01-23,26.8,49,1
Delhi,2024-01-24,23.7,83,0
Delhi,2024-01-25,20.1,45,0
Delhi,2024-01-26,16.1,52,0
Delhi,2024-01-27,22.0,41,0
Delhi,2024-01-28,14.0,48,0
Delhi,2024-01-29,22.3,42,1
Delhi,2024-01-30,10.0,48,0
Delhi,2024-01-31,26.4,84,0
Delhi,2024-02-01,16.4,70,1
Delhi,2024-02-02,24.6,70,0
Delhi,2024-02-03,12.5,58,1
Delhi,2024-02-04,24.7,79,0
Delhi,2024-02-05,21.1,88,0
Delhi,2024-02-06,27.2,63,1
Delhi,2024-02-07,21.5,64,0
Delhi,2024-02-08,18.4,67,0
Delhi,2024-02-09,20.5,64,0
Delhi,2024-02-10,17.1,80,1
Delhi,2024-02-11,24.4,42,1
Delhi,2024-02-12,16.7,54,0
Delhi,2024-02-13,23.5,61,0
Delhi,2024-02-14,18.9,61,0
Delhi,2024-02-15,27.3,44,0
Delhi,2024-02-16,22.4,85,0
Delhi,2024-02-17,30.5,85,0
Delhi,2024-02-18,24.1,41,0
Delhi,2024-02-19,25.9,45,0
Delhi,2024-02-20,26.9,49,1
Delhi,2024-02-21,17.3,51,0
Delhi,2024-02-22,10.7,46,0
Delhi,2024-02-23,18.7,44,1
Delhi,2024-02-24,19.7,67,0
Delhi,2024-02-25,10.3,43,0
Delhi,2024-02-26,24.5,79,0
Delhi,2024-02-27,24.5,74,1
Delhi,2024-02-28,21.6,58,0
Delhi,2024-02-29,20.5,53,0
Delhi,2024-03-01,11.6,72,1
Delhi,2024-03-02,20.0,64,0
Delhi,2024-03-03,4.5,49,0
Delhi,2024-03-04,21.3,41,0
Delhi,2024-03-05,27.7,41,0
Delhi,2024-03-06,24.1,82,0
Delhi,2024-03-07,16.1,49,0
Delhi,2024-03-08,23.2,55,0
Delhi,2024-03-09,16.8,89,0
Delhi,2024-03-10,24.1,64,0
Delhi,2024-03-11,21.6,89,0
Delhi,2024-03-12,19.9,68,0
Delhi,2024-03-13,18.1,44,0
Delhi,2024-03-14,23.8,49,0
Delhi,2024-03-15,10.5,89,1
Delhi,2024-03-16,11.4,74,0
Delhi,2024-03-17,10.1,84,0
Delhi,2024-03-18,17.9,77,0
Delhi,2024-03-19,19.1,76,0
Delhi,2024-03-20,15.3,53,0
Delhi,2024-03-21,17.9,58,0
Delhi,2024-03-22,23.0,62,1
Delhi,2024-03-23,14.5,88,0
Delhi,2024-03-24,23.0,78,1
Delhi,2024-03-25,28.3,64,0
Delhi,2024-03-26,26.1,44,0
Delhi,2024-03-27,23.0,85,0
Delhi,2024-03-28,22.4,44,0
Delhi,2024-03-29,18.5,61,0
Delhi,2024-03-30,8.8,57,0
Delhi,2024-03-31,25.3,55,0
Delhi,2024-04-01,19.3,49,0
Delhi,2024-04-02,23.6,48,0
Delhi,2024-04-03,19.7,56,0
Delhi,2024-04-04,8.6,47,1
Delhi,2024-04-05,22.5,41,0
Delhi,2024-04-06,22.0,45,0
Delhi,2024-04-07,13.4,87,0
Delhi,2024-04-08,14.3,74,0
Delhi,2024-04-09,21.6,56,0
Delhi,2024-04-10,21.6,50,0
Delhi,2024-04-11,29.8,87,0
Delhi,2024-04-12,22.3,80,0
Delhi,2024-04-13,23.9,73,0
Delhi,2024-04-14,23.5,45,0
Delhi,2024-04-15,19.7,82,0
Delhi,2024-04-16,16.0,60,1
Delhi,2024-04-17,20.5,43,0
Delhi,2024-04-18,26.7,69,0
Delhi,2024-04-19,16.1,85,0
Delhi,2024-04-20,28.9,79,0
Delhi,2024-04-21,19.2,49,0
Delhi,2024-04-22,20.6,61,0
Delhi,2024-04-23,8.2,70,0
Delhi,2024-04-24,19.3,69,0
Delhi,2024-04-25,22.2,79,1
Delhi,2024-04-26,24.9,48,0
Delhi,2024-04-27,27.9,54,0
Delhi,2024-04-28,19.7,47,1
Delhi,2024-04-29,17.3,85,0
Delhi,2024-04-30,17.0,56,1
Delhi,2024-05-01,30.2,63,0
Delhi,2024-05-02,26.2,53,1
Delhi,2024-05-03,25.2,85,0
Delhi,2024-05-04,18.5,54,0
Delhi,2024-05-05,28.2,69,0
Delhi,2024-05-06,21.2,87,0
Delhi,2024-05-07,23.4,55,0
Delhi,2024-05-08,14.4,54,0
Delhi,2024-05-09,24.1,48,0
Delhi,2024-05-10,16.0,56,0
Delhi,2024-05-11,14.0,41,1
Delhi,2024-05-12,13.0,71,1
Delhi,2024-05-13,19.0,47,0
Delhi,2024-05-14,24.4,76,0
Delhi,2024-05-15,18.5,56,0
Delhi,2024-05-16,22.6,73,0
Delhi,2024-05-17,11.7,51,0
Delhi,2024-05-18,23.8,84,0
Delhi,2024-05-19,11.4,43,0
Delhi,2024-05-20,21.4,87,0
Delhi,2024-05-21,22.5,81,1
Delhi,2024-05-22,21.5,44,0
Delhi,2024-05-23,21.9,75,1
Delhi,2024-05-24,22.7,84,0
Delhi,2024-05-25,11.1,43,0
Delhi,2024-05-26,17.8,76,0
Delhi,2024-05-27,10.8,70,1
Delhi,2024-05-28,19.9,66,1
Delhi,2024-05-29,24.7,85,0
Delhi,2024-05-30,19.0,80,0
Delhi,2024-05-31,22.4,82,0
Delhi,2024-06-01,17.3,53,0
Delhi,2024-06-02,22.1,41,0
Delhi,2024-06-03,16.2,63,1
Delhi,2024-06-04,15.1,69,1
Delhi,2024-06-05,15.7,53,1
Delhi,2024-06-06,19.9,88,0
Delhi,2024-06-07,16.1,78,0
Delhi,2024-06-08,20.6,71,0
